depth,window,read_lo,read_hi,hand_ready_us,hand_transfer_start_us,sim_transfer_start_us,hand_land_us,sim_land_us,hand_done_us,sim_done_us
1,0,1,6,6.15,6.15,6.15,8.15,8.15,13.15,13.15
1,1,4,9,9.15,9.15,9.15,11.15,11.15,18.65,18.65
1,2,7,12,12.15,13.15,13.15,15.15,15.15,24.15,24.15
1,3,10,15,15.15,18.65,18.65,20.65,20.65,29.65,29.65
1,4,13,18,18.15,24.15,24.15,26.15,26.15,35.15,35.15
1,5,16,21,21.15,29.65,29.65,31.65,31.65,40.65,40.65
1,6,19,24,24.15,35.15,35.15,37.15,37.15,46.15,46.15
1,7,22,27,27.15,40.65,40.65,42.65,42.65,51.65,51.65
1,8,25,27,27.15,46.15,46.15,48.15,48.15,57.15,57.15
