distance,physical_error_probability,algorithm,seed,windows,logical_failure,wall_seconds
5,0.007,belief_matching,0,9,False,5.473015
5,0.007,belief_matching,1,9,True,0.179067
5,0.007,belief_matching,2,9,False,0.182646
5,0.007,belief_matching,3,9,False,0.190409
5,0.007,belief_matching,4,9,True,0.190379
5,0.007,belief_matching,5,9,False,0.165526
5,0.007,belief_matching,6,9,False,0.176866
5,0.007,belief_matching,7,9,False,0.147034
5,0.007,belief_matching,8,9,True,0.190613
5,0.007,belief_matching,9,9,False,0.190366
5,0.007,belief_matching,10,9,False,0.190606
5,0.007,belief_matching,11,9,False,0.167351
5,0.007,belief_matching,12,9,False,0.162896
5,0.007,belief_matching,13,9,False,0.176932
5,0.007,belief_matching,14,9,False,0.190761
5,0.007,belief_matching,15,9,False,0.191239
5,0.007,belief_matching,16,9,False,0.178111
5,0.007,belief_matching,17,9,True,0.141032
5,0.007,belief_matching,18,9,True,0.190366
5,0.007,belief_matching,19,9,False,0.190137
5,0.007,belief_matching,20,9,False,0.176059
5,0.007,belief_matching,21,9,False,0.149006
5,0.007,belief_matching,22,9,False,0.176408
5,0.007,belief_matching,23,9,True,0.165638
5,0.007,belief_matching,24,9,False,0.176759
5,0.007,belief_matching,25,9,True,0.10151
5,0.007,belief_matching,26,9,False,0.177585
5,0.007,belief_matching,27,9,False,0.190756
5,0.007,belief_matching,28,9,False,0.167517
5,0.007,belief_matching,29,9,False,0.159679
5,0.007,belief_matching,30,9,False,0.191308
5,0.007,belief_matching,31,9,False,0.191215
5,0.007,belief_matching,32,9,False,0.178351
5,0.007,belief_matching,33,9,False,0.191603
5,0.007,belief_matching,34,9,False,0.164522
5,0.007,belief_matching,35,9,False,0.191249
5,0.007,belief_matching,36,9,False,0.161527
5,0.007,belief_matching,37,9,False,0.229228
5,0.007,belief_matching,38,9,False,0.160565
5,0.007,belief_matching,39,9,False,0.175722
5,0.007,belief_matching,40,9,True,0.176406
5,0.007,belief_matching,41,9,False,0.175237
5,0.007,belief_matching,42,9,False,0.178798
5,0.007,belief_matching,43,9,True,0.17479
5,0.007,belief_matching,44,9,False,0.152875
5,0.007,belief_matching,45,9,True,0.191033
5,0.007,belief_matching,46,9,False,0.160867
5,0.007,belief_matching,47,9,False,0.186305
5,0.007,belief_matching,48,9,True,0.160856
5,0.007,belief_matching,49,9,False,0.147748
5,0.007,belief_matching,50,9,False,0.148804
5,0.007,belief_matching,51,9,False,0.175858
5,0.007,belief_matching,52,9,False,0.191481
5,0.007,belief_matching,53,9,False,0.190827
5,0.007,belief_matching,54,9,False,0.176257
5,0.007,belief_matching,55,9,False,0.180672
5,0.007,belief_matching,56,9,True,0.190983
5,0.007,belief_matching,57,9,True,0.190882
5,0.007,belief_matching,58,9,True,0.176866
5,0.007,belief_matching,59,9,False,0.191149
5,0.007,belief_matching,60,9,False,0.161273
5,0.007,belief_matching,61,9,True,0.163017
5,0.007,belief_matching,62,9,False,0.178891
5,0.007,belief_matching,63,9,False,0.175643
5,0.007,belief_matching,64,9,False,0.190649
5,0.007,belief_matching,65,9,False,0.175681
5,0.007,belief_matching,66,9,False,0.173023
5,0.007,belief_matching,67,9,False,0.164119
5,0.007,belief_matching,68,9,False,0.190929
5,0.007,belief_matching,69,9,False,0.161407
5,0.007,belief_matching,70,9,False,0.175362
5,0.007,belief_matching,71,9,False,0.161796
5,0.007,belief_matching,72,9,False,0.176284
5,0.007,belief_matching,73,9,False,0.191063
5,0.007,belief_matching,74,9,False,0.14765
5,0.007,belief_matching,75,9,False,0.191365
5,0.007,belief_matching,76,9,False,0.191333
5,0.007,belief_matching,77,9,True,0.191093
5,0.007,belief_matching,78,9,False,0.12211
5,0.007,belief_matching,79,9,True,0.191397
5,0.007,belief_matching,80,9,False,0.176384
5,0.007,belief_matching,81,9,False,0.163396
5,0.007,belief_matching,82,9,False,0.151647
5,0.007,belief_matching,83,9,False,0.180484
5,0.007,belief_matching,84,9,False,0.149719
5,0.007,belief_matching,85,9,False,0.177623
5,0.007,belief_matching,86,9,False,0.162515
5,0.007,belief_matching,87,9,False,0.151187
5,0.007,belief_matching,88,9,False,0.181269
5,0.007,belief_matching,89,9,True,0.1763
5,0.007,belief_matching,90,9,False,0.132177
5,0.007,belief_matching,91,9,False,0.191041
5,0.007,belief_matching,92,9,False,0.15205
5,0.007,belief_matching,93,9,True,0.191373
5,0.007,belief_matching,94,9,False,0.169957
5,0.007,belief_matching,95,9,False,0.197584
5,0.007,belief_matching,96,9,False,0.175876
5,0.007,belief_matching,97,9,False,0.175849
5,0.007,belief_matching,98,9,False,0.190796
5,0.007,belief_matching,99,9,False,0.162492
