physical_error_probability,distance,round_period_us,algorithm,seed,windows,logical_failure,load,direct_failure,direct_mismatch,throughput_windows_per_us,throughput_rounds_per_us,max_queued_windows,tesseract_windows_checked,tesseract_window_disagreements,sim_wall_seconds,cwb_per_round_mean_us,buffer_fill_mean_us,dep_block_mean_us,queue_wait_mean_us,input_link_per_window_mean_us,fetch_mean_us,algorithm_mean_us,release_mean_us,service_mean_us,dd_per_window_mean_us,output_link_per_window_mean_us,frame_commit_mean_us,buffer0_ready_to_frame_mean_us,buffer0_first_round_to_frame_mean_us,qpu_last_round_to_frame_mean_us,qpu_first_round_to_frame_mean_us
0.001,3,1.0,pymatching,0,4,False,3.8381666666666665,False,False,0.12497266223013717,0.46864748336301437,1,0,0,0.051957716001197696,0.0083,5.001125,0.0,2.423375,0.004,0.024,6.71775,0.004,11.5115,0.003,0.004,0.004,13.942875,18.944,13.956,18.956
0.001,3,1.0,pymatching,1,4,False,2.9175,False,False,0.14810974932424925,0.5554115599659347,1,0,0,0.06720615783706307,0.0083,5.001125,0.0,0.519875,0.004,0.024,5.46775,0.004,8.7495,0.003,0.004,0.004,9.277375,14.278500000000001,9.2905,14.2905
