physical_error_probability,distance,round_period_us,algorithm,seed,windows,logical_failure,load,direct_failure,direct_mismatch,throughput_windows_per_us,throughput_rounds_per_us,max_queued_windows,tesseract_windows_checked,tesseract_window_disagreements,sim_wall_seconds,cwb_per_round_mean_us,buffer_fill_mean_us,dep_block_mean_us,queue_wait_mean_us,input_link_per_window_mean_us,fetch_mean_us,algorithm_mean_us,release_mean_us,service_mean_us,dd_per_window_mean_us,output_link_per_window_mean_us,frame_commit_mean_us,buffer0_ready_to_frame_mean_us,buffer0_first_round_to_frame_mean_us,qpu_last_round_to_frame_mean_us,qpu_first_round_to_frame_mean_us
0.001,3,1.0,pymatching,0,4,False,4.102166666666666,False,False,0.11902636433970123,0.44634886627387965,2,0,0,0.053788979072123766,0.0083,5.001125,0.0,3.105375,0.004,0.024,7.1175,0.004,12.3035,0.003,0.004,0.004,15.416875000000001,20.418,15.43,20.43
0.001,3,1.0,pymatching,1,4,False,2.8033333333333332,False,False,0.1518775866651479,0.5695409499943046,1,0,0,0.06835959013551474,0.0083,5.001125,0.0,0.439875,0.004,0.024,5.30025,0.004,8.407,0.003,0.004,0.004,8.854875,13.856,8.868,13.868
