distance,physical_error_probability,round_period_us,algorithm,seed,algorithm_us
3,0.001,1.0,pymatching,0,9.07
3,0.001,1.0,pymatching,0,9.19
3,0.001,1.0,pymatching,0,5.26
3,0.001,1.0,pymatching,0,4.95
3,0.001,1.0,pymatching,1,5.5
3,0.001,1.0,pymatching,1,5.2
3,0.001,1.0,pymatching,1,4.971
3,0.001,1.0,pymatching,1,5.53
