distance,physical_error_probability,algorithm,seed,windows,logical_failure,wall_seconds
9,0.005,0.028,0,9,False,0.450837
9,0.005,0.028,1,9,False,0.130319
9,0.005,0.028,2,9,False,0.130261
9,0.005,0.028,3,9,False,0.130097
9,0.005,0.028,4,9,True,0.160433
9,0.005,0.028,5,9,False,0.131413
9,0.005,0.028,6,9,False,0.161711
9,0.005,0.028,7,9,False,0.132484
9,0.005,0.028,8,9,False,0.159839
9,0.005,0.028,9,9,False,0.132089
9,0.005,0.028,10,9,False,0.159983
9,0.005,0.028,11,9,False,0.141472
9,0.005,0.028,12,9,False,0.172578
9,0.005,0.028,13,9,False,0.148147
9,0.005,0.028,14,9,True,0.171286
9,0.005,0.028,15,9,False,0.14811
9,0.005,0.028,16,9,False,0.177207
9,0.005,0.028,17,9,False,0.147463
9,0.005,0.028,18,9,False,0.172656
9,0.005,0.028,19,9,False,0.147291
9,0.005,0.028,20,9,False,0.170646
9,0.005,0.028,21,9,False,0.148315
9,0.005,0.028,22,9,False,0.171321
9,0.005,0.028,23,9,False,0.148334
9,0.005,0.028,24,9,False,0.16973
9,0.005,0.028,25,9,False,0.148575
9,0.005,0.028,26,9,False,0.174159
9,0.005,0.028,27,9,True,0.148224
9,0.005,0.028,28,9,False,0.174711
9,0.005,0.028,29,9,False,0.171628
9,0.005,0.028,30,9,True,0.148411
9,0.005,0.028,31,9,False,0.175944
9,0.005,0.028,32,9,False,0.148534
9,0.005,0.028,33,9,True,0.177665
9,0.005,0.028,34,9,False,0.148313
9,0.005,0.028,35,9,False,0.173109
9,0.005,0.028,36,9,False,0.148907
9,0.005,0.028,37,9,False,0.173068
9,0.005,0.028,38,9,False,0.148746
9,0.005,0.028,39,9,False,0.174871
9,0.005,0.028,40,9,False,0.148097
9,0.005,0.028,41,9,False,0.173095
9,0.005,0.028,42,9,False,0.147216
9,0.005,0.028,43,9,False,0.172742
9,0.005,0.028,44,9,False,0.149593
9,0.005,0.028,45,9,True,0.175735
9,0.005,0.028,46,9,False,0.14921
9,0.005,0.028,47,9,False,0.175412
9,0.005,0.028,48,9,False,0.148952
9,0.005,0.028,49,9,False,0.1783
9,0.005,0.028,50,9,False,0.151052
9,0.005,0.028,51,9,False,0.180412
9,0.005,0.028,52,9,True,0.149071
9,0.005,0.028,53,9,False,0.176245
9,0.005,0.028,54,9,False,0.150119
9,0.005,0.028,55,9,False,0.177788
9,0.005,0.028,56,9,False,0.150658
9,0.005,0.028,57,9,False,0.176579
9,0.005,0.028,58,9,False,0.149493
9,0.005,0.028,59,9,False,0.177895
9,0.005,0.028,60,9,False,0.150361
9,0.005,0.028,61,9,False,0.177724
9,0.005,0.028,62,9,False,0.150041
9,0.005,0.028,63,9,False,0.175626
9,0.005,0.028,64,9,False,0.149876
9,0.005,0.028,65,9,False,0.181486
9,0.005,0.028,66,9,False,0.14952
9,0.005,0.028,67,9,False,0.181396
9,0.005,0.028,68,9,False,0.150431
9,0.005,0.028,69,9,False,0.177517
9,0.005,0.028,70,9,False,0.149276
9,0.005,0.028,71,9,False,0.179701
9,0.005,0.028,72,9,False,0.149913
9,0.005,0.028,73,9,False,0.174354
9,0.005,0.028,74,9,False,0.148723
9,0.005,0.028,75,9,False,0.184376
9,0.005,0.028,76,9,False,0.152501
9,0.005,0.028,77,9,False,0.175442
9,0.005,0.028,78,9,False,0.151289
9,0.005,0.028,79,9,False,0.177428
9,0.005,0.028,80,9,False,0.150818
9,0.005,0.028,81,9,False,0.17539
9,0.005,0.028,82,9,False,0.13494
9,0.005,0.028,83,9,True,0.159361
9,0.005,0.028,84,9,False,0.136661
9,0.005,0.028,85,9,False,0.162641
9,0.005,0.028,86,9,False,0.135334
9,0.005,0.028,87,9,False,0.164607
9,0.005,0.028,88,9,False,0.13451
9,0.005,0.028,89,9,False,0.156652
9,0.005,0.028,90,9,False,0.134157
9,0.005,0.028,91,9,False,0.158163
9,0.005,0.028,92,9,False,0.134663
9,0.005,0.028,93,9,False,0.164455
9,0.005,0.028,94,9,False,0.134754
9,0.005,0.028,95,9,False,0.16281
9,0.005,0.028,96,9,False,0.135204
9,0.005,0.028,97,9,False,0.159827
9,0.005,0.028,98,9,False,0.144061
9,0.005,0.028,99,9,False,0.174124
