distance,physical_error_probability,algorithm,seed,windows,logical_failure,wall_seconds
3,0.002,0.028,0,9,False,0.021821
3,0.002,0.028,1,9,False,0.008176
3,0.002,0.028,2,9,False,0.008069
3,0.002,0.028,3,9,False,0.008241
3,0.002,0.028,4,9,True,0.00823
3,0.002,0.028,5,9,False,0.008242
3,0.002,0.028,6,9,False,0.008224
3,0.002,0.028,7,9,False,0.008412
3,0.002,0.028,8,9,False,0.008698
3,0.002,0.028,9,9,False,0.008537
3,0.002,0.028,10,9,False,0.008375
3,0.002,0.028,11,9,False,0.008268
3,0.002,0.028,12,9,False,0.008125
3,0.002,0.028,13,9,False,0.008182
3,0.002,0.028,14,9,False,0.008151
3,0.002,0.028,15,9,False,0.008312
3,0.002,0.028,16,9,False,0.008123
3,0.002,0.028,17,9,False,0.00807
3,0.002,0.028,18,9,False,0.007928
3,0.002,0.028,19,9,False,0.007973
3,0.002,0.028,20,9,False,0.008013
3,0.002,0.028,21,9,False,0.008345
3,0.002,0.028,22,9,False,0.008379
3,0.002,0.028,23,9,False,0.008331
3,0.002,0.028,24,9,False,0.008096
3,0.002,0.028,25,9,False,0.007934
3,0.002,0.028,26,9,False,0.007905
3,0.002,0.028,27,9,False,0.007985
3,0.002,0.028,28,9,False,0.008126
3,0.002,0.028,29,9,False,0.008022
3,0.002,0.028,30,9,False,0.007908
3,0.002,0.028,31,9,False,0.007964
3,0.002,0.028,32,9,False,0.008048
3,0.002,0.028,33,9,True,0.007951
3,0.002,0.028,34,9,False,0.007939
3,0.002,0.028,35,9,False,0.008104
3,0.002,0.028,36,9,False,0.008516
3,0.002,0.028,37,9,False,0.008443
3,0.002,0.028,38,9,False,0.008144
3,0.002,0.028,39,9,False,0.008194
3,0.002,0.028,40,9,False,0.008116
3,0.002,0.028,41,9,False,0.00796
3,0.002,0.028,42,9,False,0.007953
3,0.002,0.028,43,9,False,0.007994
3,0.002,0.028,44,9,False,0.008322
3,0.002,0.028,45,9,False,0.008562
3,0.002,0.028,46,9,False,0.008563
3,0.002,0.028,47,9,False,0.008007
3,0.002,0.028,48,9,False,0.008126
3,0.002,0.028,49,9,False,0.008046
3,0.002,0.028,50,9,False,0.00798
3,0.002,0.028,51,9,False,0.007862
3,0.002,0.028,52,9,False,0.008013
3,0.002,0.028,53,9,False,0.0079
3,0.002,0.028,54,9,False,0.008067
3,0.002,0.028,55,9,False,0.008064
3,0.002,0.028,56,9,False,0.007977
3,0.002,0.028,57,9,False,0.007999
3,0.002,0.028,58,9,False,0.00822
3,0.002,0.028,59,9,False,0.008005
3,0.002,0.028,60,9,False,0.008011
3,0.002,0.028,61,9,False,0.008021
3,0.002,0.028,62,9,False,0.007951
3,0.002,0.028,63,9,False,0.00821
3,0.002,0.028,64,9,False,0.008069
3,0.002,0.028,65,9,False,0.007937
3,0.002,0.028,66,9,False,0.0081
3,0.002,0.028,67,9,False,0.0082
3,0.002,0.028,68,9,False,0.008531
3,0.002,0.028,69,9,False,0.008321
3,0.002,0.028,70,9,False,0.008036
3,0.002,0.028,71,9,False,0.00831
3,0.002,0.028,72,9,False,0.008386
3,0.002,0.028,73,9,False,0.007996
3,0.002,0.028,74,9,False,0.007956
3,0.002,0.028,75,9,False,0.007989
3,0.002,0.028,76,9,False,0.008206
3,0.002,0.028,77,9,False,0.008102
3,0.002,0.028,78,9,False,0.008085
3,0.002,0.028,79,9,False,0.008001
3,0.002,0.028,80,9,False,0.008033
3,0.002,0.028,81,9,False,0.008099
3,0.002,0.028,82,9,False,0.008031
3,0.002,0.028,83,9,False,0.007955
3,0.002,0.028,84,9,False,0.007987
3,0.002,0.028,85,9,False,0.007896
3,0.002,0.028,86,9,False,0.007859
3,0.002,0.028,87,9,False,0.00789
3,0.002,0.028,88,9,False,0.008013
3,0.002,0.028,89,9,False,0.00799
3,0.002,0.028,90,9,False,0.008444
3,0.002,0.028,91,9,False,0.008741
3,0.002,0.028,92,9,False,0.008348
3,0.002,0.028,93,9,False,0.007971
3,0.002,0.028,94,9,False,0.00814
3,0.002,0.028,95,9,False,0.008054
3,0.002,0.028,96,9,False,0.008055
3,0.002,0.028,97,9,False,0.007984
3,0.002,0.028,98,9,False,0.007921
3,0.002,0.028,99,9,False,0.007936
