algorithm_latency_us,round_period_us,window_id,read_lo,read_hi,commit_lo,commit_hi,first_qpu_send_us,last_qpu_send_us,first_buffer0_us,buffer0_ready_us,dependency_arrival_us,queued_us,dispatch_us,cwd_arrival_us,decode_done_us,dd_delivery_us,wdo_delivery_us,frame_commit_us,dependency_block_us,buffer0_ready_to_frame_us,qpu_last_round_to_frame_us
0.028,0.5,0,1,6,1,3,0.5,3.0,2.1,4.6,,4.6,4.6,5.6,5.656,6.156,6.656,6.66,0.0,2.06,3.66
0.028,0.5,1,4,9,4,9,2.0,4.5,3.6,6.1,6.156,6.156,6.156,7.156,7.212,,8.212,8.216,0.056,2.116,3.716
