physical_error_probability,shots,failures,logical_error_rate,wilson_low,wilson_high
0.001,200,3,0.015,0.005114145184492387,0.043166480556278884
0.002,200,9,0.045,0.023852271724704166,0.08329759366096785
0.003,200,14,0.07,0.04215178292291873,0.11405578216683726
0.005,200,52,0.26,0.20413736892786316,0.32490871391293097
0.007,200,63,0.315,0.25462218077944276,0.38235084141033604
0.01,200,90,0.45,0.38263948633754313,0.519245114254289
