distance,physical_error_probability,algorithm,seed,windows,logical_failure,wall_seconds
7,0.007,0.028,0,9,False,0.217396
7,0.007,0.028,1,9,False,0.067926
7,0.007,0.028,2,9,False,0.067809
7,0.007,0.028,3,9,True,0.068242
7,0.007,0.028,4,9,False,0.087044
7,0.007,0.028,5,9,False,0.068645
7,0.007,0.028,6,9,False,0.068306
7,0.007,0.028,7,9,False,0.068476
7,0.007,0.028,8,9,False,0.069021
7,0.007,0.028,9,9,False,0.068608
7,0.007,0.028,10,9,False,0.086417
7,0.007,0.028,11,9,False,0.068398
7,0.007,0.028,12,9,False,0.069148
7,0.007,0.028,13,9,False,0.069406
7,0.007,0.028,14,9,True,0.069201
7,0.007,0.028,15,9,True,0.08644
7,0.007,0.028,16,9,False,0.069824
7,0.007,0.028,17,9,False,0.069414
7,0.007,0.028,18,9,True,0.069389
7,0.007,0.028,19,9,True,0.069949
7,0.007,0.028,20,9,False,0.069704
7,0.007,0.028,21,9,True,0.086832
7,0.007,0.028,22,9,True,0.070731
7,0.007,0.028,23,9,True,0.069462
7,0.007,0.028,24,9,True,0.069669
7,0.007,0.028,25,9,True,0.069461
7,0.007,0.028,26,9,False,0.087177
7,0.007,0.028,27,9,False,0.069818
7,0.007,0.028,28,9,False,0.069423
7,0.007,0.028,29,9,False,0.069494
7,0.007,0.028,30,9,False,0.069578
7,0.007,0.028,31,9,True,0.070439
7,0.007,0.028,32,9,False,0.087087
7,0.007,0.028,33,9,False,0.069454
7,0.007,0.028,34,9,False,0.069431
7,0.007,0.028,35,9,False,0.069702
7,0.007,0.028,36,9,False,0.070125
7,0.007,0.028,37,9,False,0.087695
7,0.007,0.028,38,9,True,0.07027
7,0.007,0.028,39,9,False,0.069924
7,0.007,0.028,40,9,False,0.069605
7,0.007,0.028,41,9,True,0.069733
7,0.007,0.028,42,9,False,0.069841
7,0.007,0.028,43,9,True,0.087535
7,0.007,0.028,44,9,True,0.070015
7,0.007,0.028,45,9,False,0.070167
7,0.007,0.028,46,9,False,0.070018
7,0.007,0.028,47,9,False,0.06989
7,0.007,0.028,48,9,False,0.087803
7,0.007,0.028,49,9,False,0.069894
7,0.007,0.028,50,9,True,0.070202
7,0.007,0.028,51,9,True,0.070035
7,0.007,0.028,52,9,False,0.070464
7,0.007,0.028,53,9,False,0.070336
7,0.007,0.028,54,9,False,0.087681
7,0.007,0.028,55,9,False,0.070108
7,0.007,0.028,56,9,False,0.070322
7,0.007,0.028,57,9,False,0.070176
7,0.007,0.028,58,9,True,0.071207
7,0.007,0.028,59,9,False,0.087473
7,0.007,0.028,60,9,False,0.070208
7,0.007,0.028,61,9,False,0.070189
7,0.007,0.028,62,9,False,0.069956
7,0.007,0.028,63,9,False,0.070157
7,0.007,0.028,64,9,False,0.070513
7,0.007,0.028,65,9,True,0.087793
7,0.007,0.028,66,9,False,0.069975
7,0.007,0.028,67,9,True,0.070155
7,0.007,0.028,68,9,True,0.070169
7,0.007,0.028,69,9,False,0.070093
7,0.007,0.028,70,9,False,0.087613
7,0.007,0.028,71,9,False,0.070238
7,0.007,0.028,72,9,False,0.070202
7,0.007,0.028,73,9,False,0.071045
7,0.007,0.028,74,9,False,0.071446
7,0.007,0.028,75,9,False,0.069889
7,0.007,0.028,76,9,False,0.087472
7,0.007,0.028,77,9,True,0.06937
7,0.007,0.028,78,9,True,0.0643
7,0.007,0.028,79,9,False,0.062183
7,0.007,0.028,80,9,True,0.061849
7,0.007,0.028,81,9,False,0.078428
7,0.007,0.028,82,9,False,0.061951
7,0.007,0.028,83,9,True,0.062008
7,0.007,0.028,84,9,True,0.06205
7,0.007,0.028,85,9,False,0.061811
7,0.007,0.028,86,9,False,0.061952
7,0.007,0.028,87,9,False,0.078847
7,0.007,0.028,88,9,True,0.062567
7,0.007,0.028,89,9,False,0.061991
7,0.007,0.028,90,9,False,0.061675
7,0.007,0.028,91,9,False,0.061483
7,0.007,0.028,92,9,False,0.078482
7,0.007,0.028,93,9,False,0.061972
7,0.007,0.028,94,9,False,0.062026
7,0.007,0.028,95,9,True,0.062113
7,0.007,0.028,96,9,False,0.061751
7,0.007,0.028,97,9,False,0.078884
7,0.007,0.028,98,9,False,0.062441
7,0.007,0.028,99,9,True,0.061911
