distance,physical_error_probability,algorithm,seed,windows,logical_failure,wall_seconds
5,0.0005,0.028,0,9,False,0.110575
5,0.0005,0.028,1,9,False,0.034631
5,0.0005,0.028,2,9,False,0.035707
5,0.0005,0.028,3,9,False,0.036271
5,0.0005,0.028,4,9,False,0.036686
5,0.0005,0.028,5,9,False,0.03539
5,0.0005,0.028,6,9,False,0.036166
5,0.0005,0.028,7,9,False,0.035788
5,0.0005,0.028,8,9,False,0.03656
5,0.0005,0.028,9,9,False,0.036747
5,0.0005,0.028,10,9,False,0.034781
5,0.0005,0.028,11,9,False,0.037324
5,0.0005,0.028,12,9,False,0.036545
5,0.0005,0.028,13,9,False,0.037729
5,0.0005,0.028,14,9,False,0.035999
5,0.0005,0.028,15,9,False,0.034962
5,0.0005,0.028,16,9,False,0.037557
5,0.0005,0.028,17,9,False,0.03671
5,0.0005,0.028,18,9,False,0.036091
5,0.0005,0.028,19,9,False,0.037427
5,0.0005,0.028,20,9,False,0.03571
5,0.0005,0.028,21,9,False,0.038106
5,0.0005,0.028,22,9,False,0.035272
5,0.0005,0.028,23,9,False,0.036675
5,0.0005,0.028,24,9,False,0.105913
5,0.0005,0.028,25,9,False,0.036426
5,0.0005,0.028,26,9,False,0.035623
5,0.0005,0.028,27,9,False,0.035445
5,0.0005,0.028,28,9,False,0.035472
5,0.0005,0.028,29,9,False,0.036722
5,0.0005,0.028,30,9,False,0.035506
5,0.0005,0.028,31,9,False,0.034497
5,0.0005,0.028,32,9,False,0.03534
5,0.0005,0.028,33,9,False,0.037039
5,0.0005,0.028,34,9,False,0.036131
5,0.0005,0.028,35,9,False,0.037617
5,0.0005,0.028,36,9,False,0.034122
5,0.0005,0.028,37,9,False,0.030353
5,0.0005,0.028,38,9,False,0.026748
5,0.0005,0.028,39,9,False,0.024728
5,0.0005,0.028,40,9,False,0.024592
5,0.0005,0.028,41,9,False,0.026455
5,0.0005,0.028,42,9,False,0.027005
5,0.0005,0.028,43,9,False,0.027302
5,0.0005,0.028,44,9,False,0.027015
5,0.0005,0.028,45,9,False,0.027274
5,0.0005,0.028,46,9,False,0.026328
5,0.0005,0.028,47,9,False,0.024679
5,0.0005,0.028,48,9,False,0.024543
5,0.0005,0.028,49,9,False,0.025414
5,0.0005,0.028,50,9,False,0.026245
5,0.0005,0.028,51,9,False,0.027303
5,0.0005,0.028,52,9,False,0.027557
5,0.0005,0.028,53,9,False,0.026667
5,0.0005,0.028,54,9,False,0.027002
5,0.0005,0.028,55,9,False,0.028837
5,0.0005,0.028,56,9,False,0.028415
5,0.0005,0.028,57,9,False,0.027582
5,0.0005,0.028,58,9,False,0.027354
5,0.0005,0.028,59,9,False,0.024866
5,0.0005,0.028,60,9,False,0.024562
5,0.0005,0.028,61,9,False,0.024792
5,0.0005,0.028,62,9,False,0.024959
5,0.0005,0.028,63,9,False,0.025495
5,0.0005,0.028,64,9,False,0.025542
5,0.0005,0.028,65,9,False,0.024954
5,0.0005,0.028,66,9,False,0.024474
5,0.0005,0.028,67,9,False,0.02437
5,0.0005,0.028,68,9,False,0.024507
5,0.0005,0.028,69,9,False,0.024588
5,0.0005,0.028,70,9,False,0.024346
5,0.0005,0.028,71,9,False,0.024541
5,0.0005,0.028,72,9,False,0.024739
5,0.0005,0.028,73,9,False,0.024421
5,0.0005,0.028,74,9,False,0.024399
5,0.0005,0.028,75,9,False,0.024761
5,0.0005,0.028,76,9,False,0.024348
5,0.0005,0.028,77,9,False,0.024543
5,0.0005,0.028,78,9,False,0.049191
5,0.0005,0.028,79,9,False,0.02454
5,0.0005,0.028,80,9,False,0.024178
5,0.0005,0.028,81,9,False,0.024494
5,0.0005,0.028,82,9,False,0.024184
5,0.0005,0.028,83,9,False,0.02437
5,0.0005,0.028,84,9,False,0.024248
5,0.0005,0.028,85,9,False,0.024457
5,0.0005,0.028,86,9,False,0.024221
5,0.0005,0.028,87,9,False,0.024444
5,0.0005,0.028,88,9,False,0.024505
5,0.0005,0.028,89,9,False,0.024529
5,0.0005,0.028,90,9,False,0.024244
5,0.0005,0.028,91,9,False,0.024568
5,0.0005,0.028,92,9,False,0.024366
5,0.0005,0.028,93,9,False,0.024288
5,0.0005,0.028,94,9,False,0.024408
5,0.0005,0.028,95,9,False,0.024447
5,0.0005,0.028,96,9,False,0.024388
5,0.0005,0.028,97,9,False,0.024478
5,0.0005,0.028,98,9,False,0.024316
5,0.0005,0.028,99,9,False,0.024607
