distance,physical_error_probability,algorithm,seed,windows,logical_failure,wall_seconds
9,0.003,0.028,0,9,False,0.428336
9,0.003,0.028,1,9,False,0.123298
9,0.003,0.028,2,9,False,0.123758
9,0.003,0.028,3,9,False,0.12357
9,0.003,0.028,4,9,False,0.142912
9,0.003,0.028,5,9,False,0.123745
9,0.003,0.028,6,9,False,0.140753
9,0.003,0.028,7,9,False,0.124191
9,0.003,0.028,8,9,False,0.141491
9,0.003,0.028,9,9,False,0.122859
9,0.003,0.028,10,9,False,0.14124
9,0.003,0.028,11,9,False,0.123569
9,0.003,0.028,12,9,False,0.140244
9,0.003,0.028,13,9,False,0.123926
9,0.003,0.028,14,9,False,0.1476
9,0.003,0.028,15,9,False,0.141261
9,0.003,0.028,16,9,False,0.15866
9,0.003,0.028,17,9,False,0.140451
9,0.003,0.028,18,9,False,0.159085
9,0.003,0.028,19,9,False,0.139574
9,0.003,0.028,20,9,False,0.159781
9,0.003,0.028,21,9,False,0.140482
9,0.003,0.028,22,9,False,0.159309
9,0.003,0.028,23,9,False,0.140644
9,0.003,0.028,24,9,False,0.159838
9,0.003,0.028,25,9,False,0.141764
9,0.003,0.028,26,9,False,0.160612
9,0.003,0.028,27,9,False,0.141307
9,0.003,0.028,28,9,False,0.160158
9,0.003,0.028,29,9,False,0.159475
9,0.003,0.028,30,9,False,0.142676
9,0.003,0.028,31,9,False,0.159382
9,0.003,0.028,32,9,False,0.142477
9,0.003,0.028,33,9,False,0.158947
9,0.003,0.028,34,9,False,0.1428
9,0.003,0.028,35,9,False,0.160385
9,0.003,0.028,36,9,False,0.142814
9,0.003,0.028,37,9,False,0.159777
9,0.003,0.028,38,9,False,0.142674
9,0.003,0.028,39,9,False,0.160638
9,0.003,0.028,40,9,False,0.142404
9,0.003,0.028,41,9,False,0.160064
9,0.003,0.028,42,9,False,0.142534
9,0.003,0.028,43,9,False,0.159126
9,0.003,0.028,44,9,False,0.142739
9,0.003,0.028,45,9,False,0.162052
9,0.003,0.028,46,9,False,0.142041
9,0.003,0.028,47,9,False,0.162474
9,0.003,0.028,48,9,False,0.141081
9,0.003,0.028,49,9,False,0.161367
9,0.003,0.028,50,9,False,0.141171
9,0.003,0.028,51,9,False,0.161576
9,0.003,0.028,52,9,False,0.142577
9,0.003,0.028,53,9,False,0.161467
9,0.003,0.028,54,9,False,0.142632
9,0.003,0.028,55,9,False,0.161679
9,0.003,0.028,56,9,False,0.142004
9,0.003,0.028,57,9,False,0.161218
9,0.003,0.028,58,9,False,0.141775
9,0.003,0.028,59,9,False,0.160397
9,0.003,0.028,60,9,False,0.142325
9,0.003,0.028,61,9,False,0.161888
9,0.003,0.028,62,9,False,0.141763
9,0.003,0.028,63,9,False,0.16137
9,0.003,0.028,64,9,False,0.142385
9,0.003,0.028,65,9,False,0.160952
9,0.003,0.028,66,9,False,0.14448
9,0.003,0.028,67,9,False,0.161619
9,0.003,0.028,68,9,False,0.142819
9,0.003,0.028,69,9,False,0.161521
9,0.003,0.028,70,9,False,0.142244
9,0.003,0.028,71,9,False,0.161238
9,0.003,0.028,72,9,False,0.142425
9,0.003,0.028,73,9,False,0.162508
9,0.003,0.028,74,9,False,0.142227
9,0.003,0.028,75,9,False,0.161164
9,0.003,0.028,76,9,False,0.143285
9,0.003,0.028,77,9,False,0.16175
9,0.003,0.028,78,9,False,0.142453
9,0.003,0.028,79,9,False,0.161016
9,0.003,0.028,80,9,False,0.142094
9,0.003,0.028,81,9,False,0.160729
9,0.003,0.028,82,9,False,0.142883
9,0.003,0.028,83,9,False,0.163002
9,0.003,0.028,84,9,False,0.142802
9,0.003,0.028,85,9,False,0.162108
9,0.003,0.028,86,9,False,0.142683
9,0.003,0.028,87,9,False,0.162381
9,0.003,0.028,88,9,False,0.14324
9,0.003,0.028,89,9,False,0.162284
9,0.003,0.028,90,9,False,0.133484
9,0.003,0.028,91,9,False,0.159094
9,0.003,0.028,92,9,False,0.126409
9,0.003,0.028,93,9,False,0.148055
9,0.003,0.028,94,9,False,0.127462
9,0.003,0.028,95,9,False,0.149278
9,0.003,0.028,96,9,False,0.127332
9,0.003,0.028,97,9,False,0.146472
9,0.003,0.028,98,9,False,0.127321
9,0.003,0.028,99,9,False,0.146502
