physical_error_probability,distance,round_period_us,algorithm,seed,windows,logical_failure,load,direct_failure,direct_mismatch,throughput_windows_per_us,throughput_rounds_per_us,max_queued_windows,tesseract_windows_checked,tesseract_window_disagreements,sim_wall_seconds,cwb_per_round_mean_us,buffer_fill_mean_us,dep_block_mean_us,queue_wait_mean_us,input_link_per_window_mean_us,fetch_mean_us,algorithm_mean_us,release_mean_us,service_mean_us,dd_per_window_mean_us,output_link_per_window_mean_us,frame_commit_mean_us,buffer0_ready_to_frame_mean_us,buffer0_first_round_to_frame_mean_us,qpu_last_round_to_frame_mean_us,qpu_first_round_to_frame_mean_us
0.001,3,1.0,pymatching,0,4,False,3.8640000000000003,False,False,0.12388887168210116,0.46458326880787937,1,0,0,0.053389606066048145,0.0083,5.001125,0.0,2.400625,0.004,0.024,6.78775,0.004,11.589,0.003,0.004,0.004,13.997625,18.99875,14.01075,19.01075
0.001,3,1.0,pymatching,1,4,False,2.904833333333334,False,False,0.14827995255041518,0.556049822064057,1,0,0,0.06544383405707777,0.0083,5.001125,0.0,0.537375,0.004,0.024,5.46,0.004,8.711500000000001,0.003,0.004,0.004,9.256875,14.258,9.27,14.27
